"id","name","description","status","parentid",
"1","Le Quotidien","","active","0",
"2","Le Savoir Vivre","","active","0",
"3","Les Activités","","active","0",
"4","La Routine","","active","0",
"5","Autre","","active","0",
"6","Conversation","Les formules de tout les jours","active","1",
"7","Transport","description","active","1",
"8","Au marché","description","active","1",
"9","La boutique","description","active","1",
"10","Au restaurant","description","active","1",
"11","La santé","description","active","2",
"12","Les Cinq Sens","description","active","2",
"13","Le Corps","description","active","2",
"14","A la pêche","description","active","3",
"15","Scolarité","description","active","3",
"16","Pique-nique","description","active","3",
"17","Le ménage","description","active","4",
"18","La campagne","description","active","4",
"19","La famille","description","active","4",
"20","Le temps","description","active","5",
"21","Mots utiles","description","active","5",
"22","Verbes réguliers","description","active","5",
"23","Verbes irréguliers","description","active","5",
"24","Les nombres","description","active","5",
"25","Autre","description","active","5",
